set;model;epochs;loss;accuracy;val_loss;val_accuracy
ChlorineConcentration;resnet;100;0.1896;0.9379;0.8176;0.7859
ChlorineConcentration;resnet;500;4.6121e-04;1.0000;0.8081;0.8495
ChlorineConcentration;resnet;1000;0.0018;1.0000;1.6584;0.6747
ChlorineConcentration;encoder;20;0.9592;0.5696;1.0186;0.5508
ChlorineConcentration;encoder;100;0.8570;0.5996;0.9250;0.5828
ChlorineConcentration;encoder;500;0.5589;0.7430;0.7588;0.7016
ChlorineConcentration;encoder;1000;0.3610;0.8522;0.6293;0.7984
CinCECGTorso;inception;20;0.4196;0.8750;2.7493;0.2500
CinCECGTorso;inception;100;0.0155;1.0000;7.9760;0.2500
CinCECGTorso;inception;500;7.3130e-04;1.0000;5.1423;0.4594
CinCECGTorso;inception;1000;6.9100e-04;1.0000;0.6675;0.8268
CinCECGTorso;cnn;20;0.7686;0.7250;1.3596;0.3732
CinCECGTorso;cnn;100;0.4406;0.9500;1.8913;0.2478
CinCECGTorso;cnn;500;0.0255;1.0000;4.1420;0.2739
CinCECGTorso;cnn;1000;0.0482;1.0000;0.7170;0.8167
CinCECGTorso;resnet;20;0.4137;0.9000;1.3887;0.2493
CinCECGTorso;resnet;100;0.0535;1.0000;3.0951;0.2478
CinCECGTorso;resnet;500;0.0019;1.0000;2.2714;0.4043
CinCECGTorso;resnet;1000;0.0018;1.0000;0.6928;0.8399
CinCECGTorso;encoder;20;0.9019;0.8750;1.1511;0.6862
CinCECGTorso;encoder;100;0.0291;1.0000;0.4578;0.8587
CinCECGTorso;encoder;500;0.0024;1.0000;0.4091;0.8761
CinCECGTorso;encoder;1000;4.7466e-04;1.0000;0.4194;0.8833
Coffee;inception;20;0.0938;0.9643;2.5414;0.4643
Coffee;inception;100;0.0010;1.0000;1.6488;0.5357
Coffee;inception;500;0.0028;1.0000;0.1967;0.8929
Coffee;inception;1000;8.2857e-05;1.0000;4.0448e-04;1.0000
Coffee;cnn;20;0.3009;1.0000;0.6982;0.5357
Coffee;cnn;100;0.0490;1.0000;3.2243;0.5357
Coffee;cnn;500;0.0069;1.0000;4.7274;0.5357
Coffee;cnn;1000;3.5991e-04;1.0000;0.0304;1.0000
Coffee;resnet;20;0.0090;1.0000;0.6959;0.5357
Coffee;resnet;100;7.0002e-04;1.0000;4.8490;0.5357
Coffee;resnet;500;5.8450e-05;1.0000;0.4638;0.7500
