classifier_name,dataset_name,accuracy
Encoder_1000_all,DistalPhalanxOutlineCorrect,0.778985507246377
Inception_1000_none,DistalPhalanxOutlineCorrect,0.757246376811594
Inception_1000_all,DistalPhalanxOutlineCorrect,0.77536231884058
Cnn_100_none,DistalPhalanxTW,0.669064748201439
cnn_100_all,DistalPhalanxTW,0.633093525179856
Resnet_100_none,DistalPhalanxTW,0.690647482014388
Resnet_100_all,DistalPhalanxTW,0.640287769784173
Encoder_100_none,DistalPhalanxTW,0.633093525179856
Encoder_100_all,DistalPhalanxTW,0.647482014388489
Inception_100_none,DistalPhalanxTW,0.669064748201439
Inception_100_all,DistalPhalanxTW,0.633093525179856
Cnn_1000_none,DistalPhalanxTW,0.705035971223021
Cnn_1000_all,DistalPhalanxTW,0.690647482014388
Resnet_1000_none,DistalPhalanxTW,0.697841726618705
Resnet_1000_all,DistalPhalanxTW,0.633093525179856
Encoder_1000_none,DistalPhalanxTW,0.647482014388489
Encoder_1000_all,DistalPhalanxTW,0.654676258992806
Inception_1000_none,DistalPhalanxTW,0.676258992805755
Inception_1000_all,DistalPhalanxTW,0.640287769784173
Cnn_100_none,ECG200,0.88
cnn_100_all,ECG200,0.79
Resnet_100_none,ECG200,0.9
Resnet_100_all,ECG200,0.8
Encoder_100_none,ECG200,0.89
Encoder_100_all,ECG200,0.91
Inception_100_none,ECG200,0.93
Inception_100_all,ECG200,0.78
Cnn_1000_none,ECG200,0.91
Cnn_1000_all,ECG200,0.87
Resnet_1000_none,ECG200,0.9
Resnet_1000_all,ECG200,0.83
Encoder_1000_none,ECG200,0.92
Encoder_1000_all,ECG200,0.93
Inception_1000_none,ECG200,0.91
Inception_1000_all,ECG200,0.82
Cnn_100_none,ECG5000,0.941555555555556
cnn_100_all,ECG5000,0.934666666666666
Resnet_100_none,ECG5000,0.931333333333333
Resnet_100_all,ECG5000,0.934
Encoder_100_none,ECG5000,0.940888888888889
Encoder_100_all,ECG5000,0.937555555555556
Inception_100_none,ECG5000,0.935333333333333
Inception_100_all,ECG5000,0.93
Cnn_1000_none,ECG5000,0.941111111111111
Cnn_1000_all,ECG5000,0.935333333333333
Resnet_1000_none,ECG5000,0.935333333333333
Resnet_1000_all,ECG5000,0.927777777777778
Encoder_1000_none,ECG5000,0.938888888888889
Encoder_1000_all,ECG5000,0.937555555555556
Inception_1000_none,ECG5000,0.939111111111111
Inception_1000_all,ECG5000,0.937555555555556
Cnn_100_none,ECGFiveDays,0.653890824622532
cnn_100_all,ECGFiveDays,0.601626016260163
Resnet_100_none,ECGFiveDays,0.976771196283391
Resnet_100_all,ECGFiveDays,0.711962833914053
Encoder_100_none,ECGFiveDays,1
Encoder_100_all,ECGFiveDays,0.993031358885017
Inception_100_none,ECGFiveDays,1
Inception_100_all,ECGFiveDays,0.806039488966318
Cnn_1000_none,ECGFiveDays,0.990708478513356
Cnn_1000_all,ECGFiveDays,0.764227642276423
Resnet_1000_none,ECGFiveDays,0.997677119628339
Resnet_1000_all,ECGFiveDays,0.896631823461092
Encoder_1000_none,ECGFiveDays,1
Encoder_1000_all,ECGFiveDays,0.990708478513356
Inception_1000_none,ECGFiveDays,1
Inception_1000_all,ECGFiveDays,0.872241579558653
Cnn_100_none,Earthquakes,0.748201438848921
cnn_100_all,Earthquakes,0.748201438848921
Resnet_100_none,Earthquakes,0.755395683453237
Resnet_100_all,Earthquakes,0.741007194244604
Encoder_100_none,Earthquakes,0.748201438848921
Encoder_100_all,Earthquakes,0.719424460431654
Inception_100_none,Earthquakes,0.748201438848921
Inception_100_all,Earthquakes,0.748201438848921
Cnn_1000_none,Earthquakes,0.712230215827338
Cnn_1000_all,Earthquakes,0.748201438848921
Resnet_1000_none,Earthquakes,0.733812949640288
Resnet_1000_all,Earthquakes,0.741007194244604
Encoder_1000_none,Earthquakes,0.733812949640288
Encoder_1000_all,Earthquakes,0.726618705035971
Inception_1000_none,Earthquakes,0.669064748201439
Inception_1000_all,Earthquakes,0.748201438848921
Cnn_100_none,ElectricDevices,0.701984178446375
cnn_100_all,ElectricDevices,0.603812735053819
Resnet_100_none,ElectricDevices,0.728699260796265
Resnet_100_all,ElectricDevices,0.632213720658799
Encoder_100_none,ElectricDevices,0.684217351835041
Encoder_100_all,ElectricDevices,0.607314226429776
Inception_100_none,ElectricDevices,0.676047205291142
Inception_100_all,ElectricDevices,0.624173258980677
Cnn_1000_none,ElectricDevices,0.705745039553884
Cnn_1000_all,ElectricDevices,0.697315523278433
Resnet_1000_none,ElectricDevices,0.750097263649332
Resnet_1000_all,ElectricDevices,0.656464790558942
Encoder_1000_none,ElectricDevices,0.684995461029698
Encoder_1000_all,ElectricDevices,0.650758656464791
Inception_1000_none,ElectricDevices,0.712488652574244
Inception_1000_all,ElectricDevices,0.638568279081831
Cnn_100_none,Fish,0.314285714285714
cnn_100_all,Fish,0.794285714285714
Resnet_100_none,Fish,0.977142857142857
Resnet_100_all,Fish,0.88
Encoder_100_none,Fish,0.851428571428571
Encoder_100_all,Fish,0.817142857142857
Inception_100_none,Fish,0.977142857142857
Inception_100_all,Fish,0.851428571428571
Cnn_1000_none,Fish,0.96
Cnn_1000_all,Fish,0.897142857142857
Resnet_1000_none,Fish,0.977142857142857
Resnet_1000_all,Fish,0.942857142857143
Encoder_1000_none,Fish,0.908571428571429
Encoder_1000_all,Fish,0.845714285714286
Inception_1000_none,Fish,0.982857142857143
Inception_1000_all,Fish,0.92
Cnn_100_none,FaceAll,0.91301775147929
cnn_100_all,FaceAll,0.581656804733728
Resnet_100_none,FaceAll,0.857396449704142
Resnet_100_all,FaceAll,0.707100591715976
Encoder_100_none,FaceAll,0.773372781065089
Encoder_100_all,FaceAll,0.780473372781065
Inception_100_none,FaceAll,0.782248520710059
Inception_100_all,FaceAll,0.585798816568047
Cnn_1000_none,FaceAll,0.927810650887574
Cnn_1000_all,FaceAll,0.682248520710059
Resnet_1000_none,FaceAll,0.830177514792899
Resnet_1000_all,FaceAll,0.846153846153846
Encoder_1000_none,FaceAll,0.784023668639053
Encoder_1000_all,FaceAll,0.782248520710059
Inception_1000_none,FaceAll,0.80887573964497
Inception_1000_all,FaceAll,0.730769230769231
Cnn_100_none,FaceFour,0.568181818181818
cnn_100_all,FaceFour,0.352272727272727
Resnet_100_none,FaceFour,0.954545454545455
Resnet_100_all,FaceFour,0.625
Encoder_100_none,FaceFour,0.863636363636364
Encoder_100_all,FaceFour,0.863636363636364
Inception_100_none,FaceFour,0.829545454545455
Inception_100_all,FaceFour,0.545454545454545
Cnn_1000_none,FaceFour,0.920454545454545
Cnn_1000_all,FaceFour,0.670454545454545
Resnet_1000_none,FaceFour,0.954545454545455
Resnet_1000_all,FaceFour,0.727272727272727
Encoder_1000_none,FaceFour,0.863636363636364
Encoder_1000_all,FaceFour,0.863636363636364
Inception_1000_none,FaceFour,0.954545454545455
Inception_1000_all,FaceFour,0.704545454545455
Cnn_100_none,FacesUCR,0.930731707317073
cnn_100_all,FacesUCR,0.502926829268293
Resnet_100_none,FacesUCR,0.952682926829268
Resnet_100_all,FacesUCR,0.73609756097561
Encoder_100_none,FacesUCR,0.909756097560975
Encoder_100_all,FacesUCR,0.889756097560976
Inception_100_none,FacesUCR,0.947317073170732
Inception_100_all,FacesUCR,0.47219512195122
Cnn_1000_none,FacesUCR,0.94780487804878
Cnn_1000_all,FacesUCR,0.754634146341463
Resnet_1000_none,FacesUCR,0.954146341463415
Resnet_1000_all,FacesUCR,0.845853658536585
Encoder_1000_none,FacesUCR,0.912682926829268
Encoder_1000_all,FacesUCR,0.899512195121951
Inception_1000_none,FacesUCR,0.965365853658536
Inception_1000_all,FacesUCR,0.806341463414634
Cnn_100_none,FordA,0.909090909090909
cnn_100_all,FordA,0.896969696969697
Resnet_100_none,FordA,0.942424242424242
Resnet_100_all,FordA,0.926515151515152
Encoder_100_none,FordA,0.940909090909091
Encoder_100_all,FordA,0.912121212121212
Inception_100_none,FordA,0.956818181818182
Inception_100_all,FordA,0.940151515151515
Cnn_1000_none,FordA,0.920454545454545
Cnn_1000_all,FordA,0.913636363636364
Resnet_1000_none,FordA,0.939393939393939
Resnet_1000_all,FordA,0.926515151515152
Encoder_1000_none,FordA,0.942424242424242
Encoder_1000_all,FordA,0.913636363636364
Inception_1000_none,FordA,0.958333333333333
Inception_1000_all,FordA,0.942424242424242
Cnn_100_none,FordB,0.74320987654321
cnn_100_all,FordB,0.769135802469136
Resnet_100_none,FordB,0.804938271604938
Resnet_100_all,FordB,0.795061728395062
