model;pre_trained_set;training_set;num_frozen_layers;epochs;accuracy
ENCODER;FiftyWords;Coffee;22;100;1.0
INCEPTION;FiftyWords;Coffee;0;100;0.6071428571428571
INCEPTION;FiftyWords;Coffee;63;100;0.9642857142857143
CNN;FiftyWords;Coffee;0;1000;1.0
CNN;FiftyWords;Coffee;11;1000;1.0
RESNET;FiftyWords;Coffee;0;1000;1.0
RESNET;FiftyWords;Coffee;37;1000;1.0
ENCODER;FiftyWords;Coffee;0;1000;1.0
ENCODER;FiftyWords;Coffee;22;1000;1.0
INCEPTION;FiftyWords;Coffee;0;1000;1.0
INCEPTION;FiftyWords;Coffee;63;1000;1.0
CNN;InsectWingbeatSound;Computers;0;100;0.816
CNN;InsectWingbeatSound;Computers;11;100;0.736
RESNET;InsectWingbeatSound;Computers;0;100;0.58
RESNET;InsectWingbeatSound;Computers;37;100;0.752
ENCODER;InsectWingbeatSound;Computers;0;100;0.58
ENCODER;InsectWingbeatSound;Computers;22;100;0.568
INCEPTION;InsectWingbeatSound;Computers;0;100;0.788
INCEPTION;InsectWingbeatSound;Computers;63;100;0.7
CNN;InsectWingbeatSound;Computers;0;1000;0.804
CNN;InsectWingbeatSound;Computers;11;1000;0.8
RESNET;InsectWingbeatSound;Computers;0;1000;0.756
RESNET;InsectWingbeatSound;Computers;37;1000;0.788
ENCODER;InsectWingbeatSound;Computers;0;1000;0.584
ENCODER;InsectWingbeatSound;Computers;22;1000;0.56
INCEPTION;InsectWingbeatSound;Computers;0;1000;0.784
INCEPTION;InsectWingbeatSound;Computers;63;1000;0.736
CNN;CricketZ;CricketX;0;100;0.8205128205128205
CNN;CricketZ;CricketX;11;100;0.8897435897435897
RESNET;CricketZ;CricketX;0;100;0.8615384615384616
RESNET;CricketZ;CricketX;37;100;0.8769230769230769
ENCODER;CricketZ;CricketX;0;100;0.6333333333333333
ENCODER;CricketZ;CricketX;22;100;0.6923076923076923
INCEPTION;CricketZ;CricketX;0;100;0.7769230769230769
INCEPTION;CricketZ;CricketX;63;100;0.9025641025641026
CNN;CricketZ;CricketX;0;1000;0.8153846153846154
CNN;CricketZ;CricketX;11;1000;0.8717948717948718
RESNET;CricketZ;CricketX;0;1000;0.8384615384615385
RESNET;CricketZ;CricketX;37;1000;0.8743589743589744
ENCODER;CricketZ;CricketX;0;1000;0.676923076923077
ENCODER;CricketZ;CricketX;22;1000;0.7051282051282052
INCEPTION;CricketZ;CricketX;0;1000;0.8512820512820513
INCEPTION;CricketZ;CricketX;63;1000;0.9179487179487179
CNN;UWaveGestureLibraryY;CricketY;0;100;0.7666666666666667
CNN;UWaveGestureLibraryY;CricketY;11;100;0.4846153846153846
RESNET;UWaveGestureLibraryY;CricketY;0;100;0.7871794871794872
RESNET;UWaveGestureLibraryY;CricketY;37;100;0.4641025641025641
ENCODER;UWaveGestureLibraryY;CricketY;0;100;0.6435897435897436
ENCODER;UWaveGestureLibraryY;CricketY;22;100;0.5512820512820513
INCEPTION;UWaveGestureLibraryY;CricketY;0;100;0.8128205128205128
INCEPTION;UWaveGestureLibraryY;CricketY;63;100;0.4794871794871795
CNN;UWaveGestureLibraryY;CricketY;0;1000;0.7974358974358975
CNN;UWaveGestureLibraryY;CricketY;11;1000;0.6128205128205129
RESNET;UWaveGestureLibraryY;CricketY;0;1000;0.7846153846153846
RESNET;UWaveGestureLibraryY;CricketY;37;1000;0.5487179487179488
ENCODER;UWaveGestureLibraryY;CricketY;0;1000;0.6615384615384615
ENCODER;UWaveGestureLibraryY;CricketY;22;1000;0.5846153846153846
INCEPTION;UWaveGestureLibraryY;CricketY;0;1000;0.8435897435897436
INCEPTION;UWaveGestureLibraryY;CricketY;63;1000;0.6897435897435897
CNN;CricketX;CricketZ;0;100;0.8487179487179487
CNN;CricketX;CricketZ;11;100;0.882051282051282
RESNET;CricketX;CricketZ;0;100;0.8871794871794871
RESNET;CricketX;CricketZ;37;100;0.8948717948717949
ENCODER;CricketX;CricketZ;0;100;0.6743589743589744
ENCODER;CricketX;CricketZ;22;100;0.7
INCEPTION;CricketX;CricketZ;0;100;0.782051282051282
INCEPTION;CricketX;CricketZ;63;100;0.9256410256410257
CNN;CricketX;CricketZ;0;1000;0.8384615384615385
CNN;CricketX;CricketZ;11;1000;0.8564102564102564
RESNET;CricketX;CricketZ;0;1000;0.8564102564102564
RESNET;CricketX;CricketZ;37;1000;0.8871794871794871
ENCODER;CricketX;CricketZ;0;1000;0.6692307692307692
ENCODER;CricketX;CricketZ;22;1000;0.7282051282051282
INCEPTION;CricketX;CricketZ;0;1000;0.8538461538461538
INCEPTION;CricketX;CricketZ;63;1000;0.9256410256410257
CNN;ShapesAll;DiatomSizeReduction;0;100;0.6535947712418301
CNN;ShapesAll;DiatomSizeReduction;11;100;0.7124183006535948
RESNET;ShapesAll;DiatomSizeReduction;0;100;0.8888888888888888
RESNET;ShapesAll;DiatomSizeReduction;37;100;0.696078431372549
ENCODER;ShapesAll;DiatomSizeReduction;0;100;0.9738562091503268
ENCODER;ShapesAll;DiatomSizeReduction;22;100;0.9673202614379085
INCEPTION;ShapesAll;DiatomSizeReduction;0;100;0.6405228758169934
INCEPTION;ShapesAll;DiatomSizeReduction;63;100;0.761437908496732
CNN;ShapesAll;DiatomSizeReduction;0;1000;0.9019607843137255
CNN;ShapesAll;DiatomSizeReduction;11;1000;0.8986928104575164
RESNET;ShapesAll;DiatomSizeReduction;0;1000;0.934640522875817
RESNET;ShapesAll;DiatomSizeReduction;37;1000;0.9411764705882353
